,brand,model,price,engine,fuel,bodytype,transmission,colour,mileage,year,owners,doors,phone,county
118,Audi A1,1.0TFSI 95HP,"€17,900",1.0,Petrol,Hatchback,Manual,White,"43,510 km",2016 (161),"['3', 'owners']","['4', 'doors']",(021) 491 6300,Cork
119,Volkswagen Taigo,LIFE 1.0TSI 95HP,"€29,400",1.0,Petrol,SUV,Manual,Grey,100 km,2022 (222),"['1', 'owner']","['5', 'doors']",(01) 850 3925,Dublin
120,Audi A3,A3 SPORTBACK 1.0TFSI 115BHP SE,"€25,995",1.0,Petrol,Hatchback,Manual,Blue,"37,500 km",2018 (182),"['1', 'owner']","['4', 'doors']",(021) 601 9040,Cork
121,Audi A3,35 TFSI 150HP S Tronic SE €355 p/m PCP,"€35,775",1.5,Petrol,Hatchback,Automatic,Grey,"31,950 km",2022 (221),"['1', 'owner']","['4', 'doors']","(053) 919 2200, 087 055 9242",Wexford
122,BMW 3 Series,"ES Z3AO 5DR **WAS ?13,995, NOW ?12,995**","€12,995",2.0,Diesel,Saloon,Manual,Black,"150,233 km",2013 (131),"['2', 'owners']","['4', 'doors']",(021) 603 6468,Cork
123,BMW 5 Series,530e M Sport Saloon,"€54,800",2.0,Petrol Plug-in Hybrid,Saloon,Automatic,Black Sapphire Metallic Paint,"24,551 km",2021 (211),"['1', 'owner']","['4', 'doors']",(01) 864 7781,Dublin
124,Audi A3,Saloon 1.6TDI 116BHP SE - S-Line Ext.,"€31,950",1.6,Diesel,Saloon,Manual,Floret Silver (Metallic),"38,125 km",2020 (202),"['1', 'owner']","['4', 'doors']",(090) 644 9250,H548
125,A1,1.4 AUTOMATIC n,"€10,500",1.4,Petrol,Hatchback,Automatic,Red,"120,998 km",2012,"['1', 'owner']","['3', 'doors']",(01) 890 1921,PX34
126,Audi A1,1.0 AUTO  SPORTBACK 5DR *RED WITH BLACK ROOF**LOW MILEAGE*,"€18,750",1.0,Petrol,Hatchback,Automatic,Red With Black Roof,"93,000 km",2017 (171),"['1', 'owner']","['5', 'doors']","(01) 866 0900, 086 258 2332",Dublin
127,Audi A1,S-LINE  5DDR SPORTBACK 1.6 TDI 90,"€12,995",1.6,Diesel,Hatchback,Manual,Silver,"116,452 km",2014 (141),"['4', 'owners']","['5', 'doors']",(01) 513 5175,Wicklow
128,Audi A1,1.2 TFSI SPORTBACK**NEW NCT**TAX TILL 02/23**AIR CONDITIONING**PHONE CONNECTIVITY**HEATED MIRRORS**FULL ELECTRICS**MULTI-FUNC. STEERING WHEEL**HISTORY,"€14,495",1.2,Petrol,Hatchback,Manual,White,"96,498 km",2014 (142),"['3', 'owners']","['5', 'doors']",(01) 963 3250,XY07
129,Audi A3,A3 SALOON 1.0TFSI 116BHP SE WITH S-LINE EXTERIOR,"€28,995",1.0,Petrol,Saloon,Manual,Grey,"51,463 km",2019 (191),"['2', 'owners']","['4', 'doors']",(021) 601 9040,Cork
130,Audi A1,30 TFSI 110HP SE,"€30,500",1.0,Petrol,Hatchback,Manual,Brilliant Black,70 km,2022 (222),"['1', 'owner']","['4', 'doors']",(061) 607 304,Limerick
131,Audi A1,30 TFSI 110HP S-T SE - €312 p/m[PCP],"€30,975",1.0,Petrol,Hatchback,Automatic,Manhattan Grey (Metallic),"25,305 km",2022 (221),"['1', 'owner']","['4', 'doors']","(053) 919 2200, 087 055 9242",Wexford
132,Audi A1,1.4 AUTOMATIC,"€13,900",1.4,Petrol,Hatchback,Automatic,White,"102,998 km",2013 (131),"['1', 'owner']","['5', 'doors']",(01) 890 1921,PX34
133,Audi A3,SPORTBACK 30 TFSI 110HP S-LINE 5DR,"€41,999",1.0,Petrol,Hatchback,Manual,Mythos Black (Metallic),"2,000 km",2022 (222),"['1', 'owner']","['4', 'doors']",(01) 902 3493,Dublin
134,BMW 1 Series,116d Sport,"€34,400",1.5,Diesel,Hatchback,Automatic,Glacier Silver,"22,606 km",2020 (202),"['2', 'owners']","['5', 'doors']",(021) 235 5107,Cork
135,Audi A1,1.2 TFSI SPORT SPORTBACK,"€12,995",1.2,Petrol,Hatchback,Manual,White,"144,314 km",2013 (131),"['3', 'owners']","['4', 'doors']",(021) 603 6468,Cork
136,Audi A3,1.0TFSI 115 SE From 304 pm,"€29,450",1.0,Petrol,Saloon,Manual,Blue,"43,400 km",2019 (191),"['2', 'owners']","['4', 'doors']",(074) 912 2333,Donegal
137,Audi A1,1.4TDi SB  SLine LOW KMS MINT,"€22,500",1.4,Diesel,Hatchback,Manual,Red,"35,110 km",2017 (172),"['1', 'owner']","['4', 'doors']",(01) 903 8070,Dublin
138,A1,A1 1.2TFSI 86BHP,"€12,950",1.2,Petrol,Hatchback,Manual,Red,"41,247 km",2012,"['2', 'owners']","['3', 'doors']",(021) 601 9036,Cork
139,Audi A1,1.4 AUTOMATIC,"€13,950",1.4,Petrol,Hatchback,Automatic,Black,"112,999 km",2013 (131),"['1', 'owner']","['5', 'doors']",(01) 890 1921,PX34
140,Audi Q5,"40TDI QUATTRO S-T SE 4DR Auto*BLACK WITH BLACK LEATHER, PANORAMIC ROOF, ELECTRIC TAILGATE, APPLE CARPLAY / ANDROID AUTO, HEATED SEATS, USB, CRUISE AND","€52,945",2.0,Diesel,Estate,Automatic,Black,"56,000 km",2020 (201),"['1', 'owner']","['4', 'doors']",(01) 462 4100,D24AX84
141,Ford Focus,1.5TDCI 95BHP 5DR TITANIUM,"€17,995",1.5,Diesel,Hatchback,Manual,Grey,"64,164 km",2017 (172),"['1', 'owner']","['4', 'doors']",(021) 603 6468,Cork
142,A1,1.4 PETROL SPORT AUTO,"€11,495",1.4,Petrol,Hatchback,Automatic,White,"189,000 km",2012,"['2', 'owners']","['5', 'doors']","(01) 401 1599, 087 149 6692",Dublin
143,Mercedes-Benz A-Class,A35 AMG 4MATIC Premium Auto,"€59,950",2.0,Petrol,Hatchback,Automatic,Moonstone White Metallic,"42,250 km",2020 (202),"['1', 'owner']","['5', 'doors']",(01) 665 6600,Dublin
144,Audi A3,"SPORTBACK 30 TDI 116HP SE ""Includes €2,000 Scrappage""","€37,900",2.0,Diesel,Hatchback,Manual,Grey,"1,500 km",2022 (222),"['1', 'owner']","['4', 'doors']",(056) 775 1788,Kilkenny
145,Audi A3,"Saloon TDI SE ""S-Line Exterior""","€28,950",1.6,Diesel,Saloon,Manual,Floret Silver (Metallic),"65,625 km",2019 (192),"['2', 'owners']","['4', 'doors']",(051) 337 600,Waterford
146,Audi A1,SPORTBACK 5DR,"€18,950",1.0,Petrol,Hatchback,Automatic,Silver,"42,827 km",2016 (162),"['1', 'owner']","['5', 'doors']",089 402 9721,Dublin
147,Audi A1,"30 TFSI 110HP S-LINE 4DR - MANAGER SPECIAL WAS €36,999 NOW €34,999","€34,999",1.0,Petrol,Hatchback,Manual,Arrow Grey,"1,501 km",2022 (222),"['1', 'owner']","['4', 'doors']",(01) 902 3493,Dublin
148,A1,1.4i AUTO SPORT 5DR (122bhp)...HUGE SPEC...VERY CLEAN CAR...FINANCE AVAILABLE...,"€11,950",1.4,Petrol,Hatchback,Automatic,Blue,"115,286 km",2012,"['1', 'owner']","['5', 'doors']",(01) 860 0300,Dublin
149,Audi A3,SE 30 2.0TDI 6SPEED 116BHP*SALE NOW ON STRAIGHT DEAL OFFERS*,"€36,500",2.0,Diesel,Saloon,Manual,Grey,"33,000 km",2021 (212),"['1', 'owner']","['4', 'doors']","(090) 974 1077, 087 638 5033",Galway
150,Audi A1,1.0 TFSi S-Line Sportback,"€18,900",1.0,Petrol,Hatchback,Manual,White,"66,357 km",2017 (171),"['2', 'owners']","['4', 'doors']",(01) 293 9304,Dublin
151,Mercedes-Benz A-Class,A 200 Saloon Sport Auto,"€34,950",1.3,Petrol,Saloon,Automatic,Mountain Grey Metallic,"26,250 km",2019 (192),"['1', 'owner']","['4', 'doors']",(01) 665 6600,Dublin
152,Audi A3,S-LINE PACK - 30 TFSI 116HP @ FRANK KEANE VOLKSWAGEN SOUTH DUBLIN,"€30,495",1.0,Petrol,Saloon,Manual,Red,"27,748 km",2020 (201),"['1', 'owner']","['4', 'doors']",(01) 654 6000,W860
153,BMW 3 Series,320D M Sport GT,"€30,999",2.0,Diesel,Saloon,Automatic,Grey,"58,426 km",2017 (171),"['2', 'owners']","['4', 'doors']",(01) 531 4520,Dublin
154,Audi A1,1.4 Hatchback Petrol Automatic (122bhp),"€12,500",1.4,Petrol,Hatchback,Automatic,Black,"110,670 km",2013 (131),"['2', 'owners']","['3', 'doors']",083 125 6070,"class=""fpa-actions__sub-title"">Dublin"
155,Audi A3,"2.0TDI S Line - Black Styling Pack - 116HP - Saloon - SAVE €3,276 vs NEW - PCP from €438pm -","€40,950",2.0,Diesel,Saloon,Manual,Navarra Blue,"14,140 km",2022 (221),"['1', 'owner']","['4', 'doors']",(071) 911 5333,Sligo
156,Audi A3,"2.0TDI S Line + Comfort Pack - 116HP - Saloon - SAVE €3,659 vs NEW - PCP from €459pm","€41,950",2.0,Diesel,Saloon,Manual,Mythos Black (Metallic),"14,200 km",2022 (221),"['1', 'owner']","['5', 'doors']",(071) 911 5333,Sligo
157,Ford Fiesta,1.25 60PS ZETEC,"€12,750",1.2,Petrol,Hatchback,Manual,Silver,"86,020 km",2016 (161),"['3', 'owners']","['5', 'doors']",(01) 513 6803,Dublin
158,Hyundai i30,PETROL 5DR,"€27,495",1.0,Petrol,Hatchback,Manual,Grey,"1,255 km",2022 (221),"['1', 'owner']","['5', 'doors']",(021) 475 7333,Cork
159,Audi A1,S LINE 5 DOOR 1.4TFSI 125HP,"€17,950",1.4,Petrol,Hatchback,Manual,Black,"44,018 km",2016 (162),"['3', 'owners']","['5', 'doors']",(01) 901 5755,FD23
160,Audi A6,AUTO 2.0TDI 190 S-LINE,"€35,950",2.0,Diesel,Saloon,Automatic,Grey,"46,000 km",2018 (181),"['1', 'owner']","['5', 'doors']",(01) 513 6878,Wicklow
161,BMW 5 Series,"520D M SPORT AUTO 11 - MANAGER SPECIAL - WAS €23,999 NOW €20,999","€20,999",2.0,Diesel,Saloon,Automatic,Black,"173,956 km",2016 (161),"['2', 'owners']","['4', 'doors']",(01) 531 4520,Dublin
162,Audi A3,SAL 1.6 TDI 116 S-LINE,"€31,000",1.6,Diesel,Saloon,Manual,Ibis White,"46,000 km",2019 (192),"['1', 'owner']","['4', 'doors']",(061) 607 304,Limerick
163,Audi A3,1.6 TDI 116HP SE 30 SALOON,"€27,750",1.6,Diesel,Saloon,Manual,Black,"65,732 km",2019 (192),"['1', 'owner']","['4', 'doors']",(01) 456 5511,D12XV2H
164,Audi A3,SALOON SE 1.5 TFSI 150BHP NCT 01/24 *IRISH CAR* FINANCE AVAILABLE @ €131 PER WEEK 2 KEYS/ SERVICE HISTORY/ POP UP SCREEN/ AUDI MMI/ PARKING SENSORS/,"€28,999",1.5,Petrol,Saloon,Manual,Grey,"24,489 km",2020 (201),"['1', 'owner']","['4', 'doors']","(01) 456 5236, 087 600 3867",Dublin
165,Jaguar F-Type,2.0 I4 300 PS RWD Auto,"€71,950",2.0,Petrol,Coupe,Automatic,Grey,"32,560 km",2019 (191),"['1', 'owner']","['2', 'doors']",(01) 513 6367,Dublin
166,Audi A3,2.0TDI 116BHP S LINE SPORTBACK - COMFORT PACK,"€44,995",2.0,Diesel,Hatchback,Manual,Navarra Blue,"2,135 km",2022 (222),"['1', 'owner']","['4', 'doors']",(091) 336 000,Galway
167,Audi A3,"1.0TFSI 115 S-Tronic S Line 4Dr - Digital Dash , Full Leather Heated Seats , Diamond Turned Aalloys s","€41,500",1.0,Petrol,Saloon,Automatic,Grey,"19,900 km",2021 (211),"['2', 'owners']","['4', 'doors']",(01) 462 4100,D24AX84
168,Audi A1,SPORTBACK 1.0 TFSI 95 S LINE 4DR,"€18,950",1.0,Petrol,Hatchback,Manual,White,"54,874 km",2017 (172),"['2', 'owners']","['5', 'doors']","(01) 490 1134, 086 440 4263",Dublin
169,Audi A3,LIMOUSINE SAL 30 TDI 116HP S LINE 4DR,"€40,945",2.0,Diesel,Saloon,Manual,Blue,"45,600 km",2021 (212),"['1', 'owner']","['4', 'doors']","(059) 918 6032, 087 146 4747",Carlow
170,Audi A1,1.4 TFSI AUTOMATIC MODEL // ALLOY WHEELS // NEW NCT TILL 08/24 // FINANCE THIS CAR FROM ONLY €61 PER WEEK,"€15,700",1.4,Petrol,Hatchback,Automatic,Red,"61,338 km",2015 (151),"['1', 'owner']","['3', 'doors']",(01) 456 9562,D22XK49
171,Audi A3,A3 SPORTBACK 1.0TFSI 116BHP SE,"€27,995",1.0,Petrol,Hatchback,Manual,Grey,"49,854 km",2019 (191),"['2', 'owners']","['4', 'doors']",(021) 601 9040,Cork
172,Audi A1,1.4i S-LINE EXTERIOR PACK AUTO (122bhp),"€15,950",1.4,Petrol,Hatchback,Automatic,White,"103,295 km",2014 (141),"['1', 'owner']","['5', 'doors']",(01) 860 0300,Dublin
173,Audi A1,"1.4 TSI 5DR AUTO.Stunning car with only 87km, 2 Keys, New NCT, €200 Road Tax. Alloy Wheels, Bluetooth, Privacy Glass, Fog Lamps, Parcel Shelf, MFSW,","€13,950",1.4,Petrol,Hatchback,Automatic,Red,"86,999 km",2013 (132),"['1', 'owner']","['5', 'doors']","(01) 621 5751, 087 051 2486",Dublin
174,Land Rover Discovery,DISCOVERY 3.0 SDV6 HSE,"€59,950",3.0,Diesel,Unlisted,Automatic,Grey,"83,000 km",2020 (201),"['1', 'owner']","['5', 'doors']",(01) 513 6878,Wicklow
175,Audi A3,SE 35 TFSI SPORTBACK 150HP MANUAL @ FRANK KEANE VOLKSWAGEN SOUTH DUBLIN,"€34,995",1.5,Petrol,Hatchback,Manual,White,"20,518 km",2021 (211),"['2', 'owners']","['4', 'doors']",(01) 654 6000,W860
176,Audi A1,SPORTBACK 1.0 TFSI 95 4DR,"€18,950",1.0,Petrol,Hatchback,Manual,Grey,"101,696 km",2017 (171),"['3', 'owners']","['5', 'doors']","(01) 450 7599, 087 190 5146",Dublin
177,BMW 5 Series,520d SE,"€57,995",2.0,Diesel,Saloon,Automatic,Bernina Grey,"29,687 km",2022 (221),"['1', 'owner']","['4', 'doors']",(090) 640 6088,Westmeath
178,BMW 5 Series,530e M Sport Auto,"€31,995",2.0,Petrol Plug-in Hybrid,Saloon,Automatic,White,"100,000 km",2017 (172),"['2', 'owners']","['4', 'doors']",(021) 475 7333,Cork
179,Toyota Prius,1.8 Hybrid **HEAD UP DISPLAY**FRONT AND REAR PARKING SENSORS**REVERSE CAMERA**PRIVACY GLASS**,"€19,490",1.8,Petrol Hybrid,Hatchback,Automatic,White,"122,215 km",2017 (171),"['1', 'owner']","['5', 'doors']",(01) 485 1267,D12
180,Audi A3,Saloon 1.6TDI 116BHP SE - S-Line Ext.,"€28,950",1.6,Diesel,Saloon,Manual,Cosmos Blue (Metallic),"75,405 km",2019 (191),"['1', 'owner']","['4', 'doors']",(090) 644 9250,H548
181,Audi A3,116BHP S LINE 30 TDI - BLACK PACK & COMFORT PACK,"€46,387",2.0,Diesel,Saloon,Manual,Black,"2,354 km",2022 (222),"['1', 'owner']","['4', 'doors']",(091) 336 000,Galway
182,Audi A3,SALOON 30 TDI 116HP SE,"€38,999",2.0,Diesel,Saloon,Manual,Floret Silver (Metallic),"4,868 km",2022 (221),"['1', 'owner']","['4', 'doors']",(01) 902 3493,Dublin
183,Audi A3,S-line/Stunning Car/1.4 TFSI,"€30,900",1.4,Petrol,Saloon,Automatic,Black,"51,788 km",2019 (191),"['1', 'owner']","['4', 'doors']",(01) 283 2044,Dublin
184,A3,1.4 TFSI SPORTBACK,"€14,999",1.4,Petrol,Hatchback,Automatic,White,"128,525 km",2012,"['2', 'owners']","['5', 'doors']",(01) 531 4520,Dublin
185,Audi A3,SAL 30 TFSI 116HP SE,"€28,950",1.0,Petrol,Saloon,Manual,Black,"23,005 km",2020 (202),"['1', 'owner']","['4', 'doors']",(061) 225 225,Limerick
186,Alfa Romeo Giulietta,1.4TB Mair 150hp Super,"€17,900",1.4,Petrol,Hatchback,Manual,Red,"30,468 km",2018 (182),"['1', 'owner']","['4', 'doors']",(01) 255 1216,Cork
187,DS Automobiles DS5,*PRESTIGE PAN ROOF/LEATHER* 180BHP,"€19,950",2.0,Diesel,MPV,Manual,Grey Metallic,"69,520 km",2017 (171),"['3', 'owners']","['4', 'doors']",(01) 513 6803,Dublin
188,Audi A3,30 TFSI 110HP SE,"€33,700",1.0,Petrol,Saloon,Manual,Grey,"5,659 km",2021 (211),"['2', 'owners']","['4', 'doors']",(061) 607 304,Limerick
189,Audi A3,A3 SALOON 1.0 30TFSI 110BHP SE WITH HEATED SEATS & REVERSING CAMERA,"€35,995",1.0,Petrol,Saloon,Manual,Black,500 km,2022 (222),"['1', 'owner']","['4', 'doors']",(021) 601 9040,Cork
190,Audi A3,SALOON 30 TFSI 110HP SE,"€34,499",1.0,Petrol,Saloon,Manual,Ibis White,"2,001 km",2022 (222),"['1', 'owner']","['4', 'doors']",(01) 902 3493,Dublin
191,Audi A6,2.0 TDI SE BUSINESS EDITION S-TRONIC 4DR AUTOMATIC,"€19,950",2.0,Diesel,Saloon,Automatic,Blue,"168,977 km",2015 (151),"['2', 'owners']","['4', 'doors']",(01) 280 6916,Dublin
192,Volkswagen Tiguan,2.0 TDI 150HP Highline DSG,"€37,900",2.0,Diesel,SUV,Manual,Grey,"89,100 km",2018 (182),"['1', 'owner']","['5', 'doors']",(01) 850 3965,Dublin
193,Audi A1,S-LINE 5DR AUTO,"€13,950",1.4,Petrol,Hatchback,Automatic,Black,"135,999 km",2013 (132),"['1', 'owner']","['5', 'doors']","(01) 551 2345, 086 418 0248",Meath
194,Audi A3,30 TDI 116HP SE Immaculate condition,"€31,945",1.6,Diesel,Saloon,Manual,Grey,"89,000 km",2020 (201),"['1', 'owner']","['4', 'doors']",(091) 423 390,Galway
195,Romeo Spider,1.6L CABRIOLET LEFT HAND DRIVE 115...EXCEPTIONAL EXAMPLE...,"€24,950",1.6,Petrol,Convertible,Manual,White,"77,325 km",1989,"['1', 'owner']","['2', 'doors']",(01) 860 0300,Dublin
196,Audi A3,"*WAS €34000, NOW €30900* 30 TFSI 110HP SE","€30,900",1.0,Petrol,Hatchback,Manual,Manhattan Grey (Metallic),"17,000 km",2020 (202),"['1', 'owner']","['4', 'doors']",(061) 607 304,Limerick
197,Audi A3,SB 1.5TFSI 150HP S LINE,"€31,950",1.5,Petrol,Hatchback,Manual,Blue,"57,178 km",2019 (191),"['2', 'owners']","['4', 'doors']",(045) 906 666,Kildare
198,Mercedes-Benz A-Class,A 180 A/T Progressive-Line,"€34,950",1.3,Petrol,Hatchback,Automatic,Red,"18,897 km",2020 (201),"['1', 'owner']","['5', 'doors']",(021) 240 8600,Cork
199,Dacia Duster,1.5 Blue dCi 115 Essential,"€21,990",1.5,Diesel,SUV,Manual,Glacier White,"13,453 km",2021 (211),"['1', 'owner']","['4', 'doors']",(021) 235 5350,Cork
200,Audi A1,1.0TFSI 95HP S Tronic 3 DR,"€17,490",1.0,Petrol,Hatchback,Automatic,Red,"55,662 km",2016 (162),"['1', 'owner']","['3', 'doors']",(01) 485 1267,D12
201,Audi A1,1.0 PETROL SPORTBACK *PAN ROOF*,"€15,950",1.0,Petrol,Hatchback,Manual,Floret Silver (Metallic),"55,742 km",2015 (152),"['1', 'owner']","['5', 'doors']",(096) 79000,Mayo
202,Audi A1,TWO TONE 3 DOOR 1.4 TFSI AUTOMATIC,"€13,950",1.4,Petrol,Hatchback,Automatic,Wine / Silver,"71,165 km",2013 (131),"['1', 'owner']","['3', 'doors']",089 402 9721,Dublin
203,Audi A3,"A3 SPORTBACK 30 TDI 116BHP SE *WAS ?37,990 NOW ?35,995*","€35,995",2.0,Diesel,Hatchback,Manual,Black,500 km,2022 (222),"['1', 'owner']","['4', 'doors']",(021) 601 9040,Cork
204,Audi A1,"5DR AUTO. Stunning car with 2 Keys, New NCT, €200 Road Tax. Alloy Wheels, Bluetooth, Privacy Glass, Fog Lamps, Parcel Shelf, MFSW, Auto Lights, Immo","€12,950",1.4,Petrol,Hatchback,Automatic,Red,"134,999 km",2013 (131),"['1', 'owner']","['5', 'doors']","(01) 621 5751, 087 051 2486",Dublin
205,Mercedes-Benz GLE-Class,300 d 7 Seater 4MATIC AMG Exerior Night Package Auto,"€85,950",2.0,Diesel,SUV,Automatic,Selenite Grey Metallic,"38,975 km",2020 (201),"['1', 'owner']","['5', 'doors']",(01) 665 6600,Dublin
206,Volkswagen Golf,"Very Nice Example, Highline Spec, Sat Nav,Rear Camera,Keyless Entry,App Connect 1.0 Tsi 110 Bhp","€21,945",1.0,Petrol,Hatchback,Manual,Tungsten Silver,"106,800 km",2018 (181),"['2', 'owners']","['5', 'doors']",(091) 423 390,Galway
207,Audi A6,HYBRID 299HP QUATRO S-LINE*,"€56,890",2.0,Petrol Plug-in Hybrid,Saloon,Automatic,Blue,"17,099 km",2021 (211),"['1', 'owner']","['4', 'doors']",(01) 485 1267,D12
208,Audi A3,A3 SALOON 1.0 30TFSI 110BHP SE WITH HEATED SEATS & REVERSING CAMERA,"€35,995",1.0,Petrol,Saloon,Manual,Silver (Metallic),500 km,2022 (222),"['1', 'owner']","['4', 'doors']",(021) 601 9040,Cork
209,Audi A3,30 TFSI 110HP Attraction,"€31,000",1.0,Petrol,Hatchback,Manual,Black,"3,440 km",2021 (211),"['1', 'owner']","['4', 'doors']",(01) 858 0208,Dublin
210,Ford Kuga,2.0 TDCi AWD TITANIUM,"€24,950",2.0,Diesel,SUV,Manual,Black,"67,000 km",2017 (171),"['1', 'owner']","['4', 'doors']",(01) 513 6803,Dublin
211,BMW 3 Series,D SE 4DR AUTO LOW MILEAGE,"€19,950",2.0,Diesel,Saloon,Automatic,Silver,"86,238 km",2016 (161),"['4', 'owners']","['4', 'doors']",(01) 280 6916,Dublin
212,Audi A6,ESTATE 204HP S LINE,"€54,900",2.0,Diesel,Estate,Automatic,Black,"69,000 km",2020 (201),"['1', 'owner']","['5', 'doors']",(01) 513 6352,Dublin
213,Audi A3,1.6TDI 116HP S Line + Future Now Pack - Finance From €385pm - Saloon,"€32,950",1.6,Diesel,Saloon,Manual,Floret Silver (Metallic),"44,428 km",2020 (201),"['2', 'owners']","['4', 'doors']",(071) 911 5333,Sligo
214,Martin Vanquish,5.9 V12 COUPE (460 BHP)=LOW MILEAGE//2 OWNERS//DUBLIN REGISTERED=FULL DOCUMENTED ASTON MARTIN SERVICE HISTORY=TRADE IN'S WELCOME,"€99,995",5.9,Petrol,Coupe,Automatic,Black,"43,451 km",2003,"['2', 'owners']","['2', 'doors']",(01) 832 1222,Dublin
215,Audi A1,1.4 TFSI SPORT AUTOMATIC  120BHP 5 DOOR,"€13,995",1.4,Petrol,Hatchback,Automatic,Red,"88,999 km",2013 (131),"['1', 'owner']","['5', 'doors']",087 187 4841,XR20
216,Audi A1,1.0 TFSI 95 2 DR,"€20,950",1.0,Petrol,Hatchback,Manual,White,"109,101 km",2018 (181),"['2', 'owners']","['2', 'doors']",(045) 906 666,Kildare
217,Audi A3,40 TFSI PHEV SE S-tronic,"€38,995",1.4,Petrol Plug-in Hybrid,Hatchback,Automatic,Mythos Black,"4,200 km",2022 (221),"['1', 'owner']","['5', 'doors']",(091) 383 000,R6CP
218,Audi A3,"A3 SPORTBACK 2.0 30TDI S-LINE WITH COMFORT PACK *WAS ?44,036 NOW ?41,995*","€41,995",2.0,Diesel,Hatchback,Manual,Daytona Grey (Pearl Effect),500 km,2022 (222),"['1', 'owner']","['4', 'doors']",(021) 601 9040,Cork
219,Audi A3,A3 SPORTBACK 1.0 30TFSI 110BHP SE WITH COMFORT PACK,"€34,995",1.0,Petrol,Hatchback,Manual,Brilliant Black,"13,000 km",2022 (221),"['1', 'owner']","['4', 'doors']",(021) 601 9040,Cork
220,A4,1.8 TFSI 120 MULTI 4DR AUTOMATIC,"€10,950",1.8,Petrol,Saloon,Automatic,Black,"159,771 km",2012,"['3', 'owners']","['4', 'doors']",(01) 280 6916,Dublin
221,BMW 5 Series,530e SE Auto,"€31,999",2.0,Petrol Plug-in Hybrid,Saloon,Automatic,Blue,"109,656 km",2018 (181),"['1', 'owner']","['4', 'doors']",(01) 531 4520,Dublin
222,BMW 2 Series Active Tourer,216d SE Active Tourer,"€24,500",1.5,Diesel,Estate,Manual,Jet Black,"61,636 km",2017 (171),"['3', 'owners']","['4', 'doors']",(01) 864 7781,Dublin
223,Audi A3,A3 SPORTBACK  2.0 30TDI 116BHP SE WITH COMFORT PACK,"€37,995",2.0,Diesel,Hatchback,Manual,Grey,500 km,2022 (222),"['1', 'owner']","['4', 'doors']",(021) 601 9040,Cork
224,Dacia Duster,Prestige Blue dCi,"€28,890",1.5,Diesel,SUV,Manual,Glacier White,100 km,2022 (222),"['1', 'owner']","['5', 'doors']",(021) 235 5298,Cork
225,Audi A3,Sport 30 TDI #40,"€26,950",1.6,Diesel,Saloon,Manual,Black,"129,037 km",2019 (191),"['1', 'owner']","['4', 'doors']",(01) 920 3991,W025
226,Audi A3,1.6TDI 116 S Line,"€30,900",1.6,Diesel,Saloon,Manual,Grey,"63,767 km",2019 (191),"['2', 'owners']","['4', 'doors']","(041) 213 6203, (041) 213 6203",Louth
227,Audi A1,SPORTBACK 30 TFSI 110HP S-LINE 4DR BLACK EDITION,"€36,950",1.0,Petrol,Hatchback,Manual,Mythos Black (Metallic),21 km,2022 (222),"['1', 'owner']","['4', 'doors']",(01) 902 3493,Dublin
228,Honda Jazz,DAA-GP5 HYBRID 5DR AUTO,"€13,890",1.5,Petrol Hybrid,Hatchback,Automatic,Blue,"84,942 km",2016 (161),"['1', 'owner']","['5', 'doors']",(021) 475 7261,Cork
229,Audi A3,1.0TFSI AUTO 5DR 115 BHP S-TRONIC SE,"€27,950",1.0,Petrol,Hatchback,Automatic,Black,"17,732 km",2019 (191),"['1', 'owner']","['5', 'doors']",(01) 901 5755,FD23
230,Mercedes-Benz C-Class,C 180 A/T Avantgarde,"€59,950",1.5,Petrol Hybrid,Saloon,Automatic,Red,"10,500 km",2022 (221),"['1', 'owner']","['4', 'doors']",(021) 240 8600,Cork
231,Audi A3,1.0TFSI 110BHP SE - COMFORT PACK,"€33,500",1.0,Petrol,Hatchback,Manual,Tango Red (Metallic),"11,249 km",2021 (211),"['1', 'owner']","['4', 'doors']",(091) 336 000,Galway
232,Audi A1,1.6 TDI S-LINE SPORTBACK,"€15,995",1.6,Diesel,Hatchback,Manual,White,"80,000 km",2015 (151),"['3', 'owners']","['5', 'doors']",(01) 278 4597,Dublin
233,Audi A8,3.0TDI 286HP Q TIP LUXURY,"€98,950",3.0,Diesel,Saloon,Automatic,Grey,"8,820 km",2021 (211),"['1', 'owner']","['4', 'doors']",(045) 906 666,Kildare
234,Audi TT,2.0TFSI S-LINE  AUTOMATIC CALL SEAN 0861025852,"€49,900",2.0,Petrol,Coupe,Automatic,Grey,"33,700 km",2019 (192),"['1', 'owner']","['2', 'doors']",(01) 513 6352,Dublin
235,Audi A4,2.0TDI 122HP SE Ultra,"€27,950",2.0,Diesel,Saloon,Manual,Grey,"100,002 km",2018 (182),"['2', 'owners']","['4', 'doors']",(045) 455 900,Kildare
236,Alfa Romeo Stelvio,2.0l Turbo 200hp AWD Sprint-LEATHER-CAMERA-SAT NAV,"€49,950",2.0,Petrol,SUV,Automatic,Black,"29,518 km",2021 (212),"['1', 'owner']","['5', 'doors']",(021) 432 0266,Cork
237,Martin DB9,VOLANTE 6.0 V12...SIMPLY STUNNING...PREVIOUSLY SOLD BY US....,"€54,950",5.9,Petrol,Convertible,Automatic,Silver,"94,146 km",2006,"['6', 'owners']","['2', 'doors']",(01) 860 0300,Dublin
